Unnamed: 0,text,labels
0," Maxs family , who loved him dearly , made posters  with Maxs picture  and hung them around the park.","[1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1]"
1," The next day, a little girl  who had seen Max playing there before  saw one of the posters .","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0]"
2, She immediately recognized that Max is the puppy  on the poster .,"[0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 0]"
3, She quickly called  to let Maxs family know .,"[1, 1, 1, 4, 4, 4, 4, 4, 0]"
4, They rushed to the park  to pick him up immediately .,"[1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
5, Max was happy  to be reunited  with his family  who had missed him so much .,"[1, 1, 1, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 0]"
6, He also was grateful that he had made some great new friends  who helped him  to find his way back home.,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 4, 4]"
7," After this experience , Max , who had always been curious and adventurous , never strayed too far  from home .","[3, 3, 3, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 3, 3, 0]"
8," Max realized that his family , who had always been there for him , was not the only source of love and support.","[0, 0, 0, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9, He learned that there were many kind and caring people  like his new friends  in the park .,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 0]"
10," Through his journey , Max discovered that friendship was not just about having fun and playing together , but also about being there for each other in hard times .","[3, 3, 3, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
11, He would often visit the park and play  with his new friends .,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 0]"
12, He knew that they had made a bond  that would last forever .,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
13, Maxs adventure taught him a lesson  that he would carry with him  throughout his life .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
14, Max had to navigate through a dense forest  which was filled  with tall trees and thick underbrush.,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3]"
15," In the forest , wild animals , including raccoons and falcons ,  scared him to death .","[3, 3, 3, 0, 1, 1, 0, 3, 3, 3, 3, 0, 1, 1, 1, 1, 0]"
16," He got lost  in the city , which was loud and chaotic. ","[1, 1, 1, 3, 3, 3, 0, 2, 2, 2, 2, 2]"
17," Hunger, thirst, and exhaustion were constant challenges  for him .","[1, 1, 1, 1, 1, 1, 1, 3, 3, 0]"
18," He had to struggle  through thorny bushes, mud, and other obstacles .","[1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 0]"
19," He needed to find shelter , such as under a tree or in a park , to avoid predators .","[1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 4, 4, 4, 0]"
20," Additionally, he had to endure loneliness and isolation  without human contact  for so long.","[0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3]"
21," My mom , who is always kind and respectful to others , teaches me to do the same","[1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1]"
22, She thinks that honesty is important  for building trust and mutual respect in relationships .,"[0, 0, 0, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
23, I agree with my mothers belief  in honesty  in all interactions .,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0]"
24, My mother also believes in the importance of forgiveness  for maintaining healthy relationships.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
25, I am a person  who practices forgiveness  to become more understanding .,"[1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 0]"
26, She continuously motivates me  to grow and develop personally .,"[1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
27," In my opinion, if people treat each other  with kindness and respect , it can make our society better.","[0, 0, 0, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1]"
28, Research has shown that honesty is connected  with relationship satisfaction .,"[0, 0, 0, 0, 1, 1, 1, 3, 3, 3, 0]"
29, And forgiveness helps to fix and support relationships  that may have been damaged .,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
30, People  who treat others with kindness and respect  have positive relationships .,"[1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0]"
31, Personal growth leads to increased selfesteem  which ensures a kind attitude .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
32," Honesty, forgiveness, and treating others  with kindness  are all important values  that can contribute  to personal growth .","[1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0]"
33, A combination of these values can lead to a fulfilling life  that you can be proud of .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
34, Practicing these values can also have a positive impact  on society .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 0]"
35, Honesty can be an approach  which causes hurt feelings .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
36, And forgiveness should not always be right  for multiple reasons .,"[0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
37, Some actions  that people do  may be unforgivable .,"[1, 1, 2, 2, 2, 1, 1, 1, 0]"
38, These principles may not apply  to all cultures or societies .,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0]"
39," Also, there can be negative consequences  for being honest and forgiving .","[0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0]"
40, You can be taken advantage of  for your kindness .,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
41," Therefore, treating others  with kindness  is not always possible .","[0, 1, 1, 3, 3, 1, 1, 1, 1, 0]"
42, Struggling with negative thoughts and feelings  about myself  was a challenge .,"[1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0]"
43, I kept it a secret  because I felt ashamed  to talk about it .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 0]"
44," Although I eventually went to a counselor  for help , it took me a long time  to overcome my shame.","[2, 2, 2, 2, 2, 2, 2, 3, 3, 0, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4]"
45, Managing my mental health issues  with therapy and medicine  was crucial .,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 0]"
46," Getting professional help , which strengthened my coping mechanisms ,  made a big difference.","[1, 1, 1, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1]"
47, I was interested in psychology  because it helped me  to overcome negative thoughts .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 0]"
48, Now I am glad  to help others  with similar struggles  that I had .,"[0, 1, 1, 1, 4, 4, 4, 3, 3, 3, 2, 2, 2, 0]"
49, The mental health challenges  that led me to seek professional help  were my selfesteem issues and anxiety.,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
50," Managing my anxiety , which made me selfcriticized , was a major breakthrough .","[1, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 1, 0]"
51," Therefore, I decided to help others  who are going through the same struggles .","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
52, Being open and honest helped me  to realize  that I was not alone  in this struggle .,"[1, 1, 1, 1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
53, I also learned that it is important  to exercise and eat healthily .,"[0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
54," Things  like exercising, eating well, and getting enough sleep  are now my positive coping mechanisms.","[1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1]"
55, My story is a reminder  that you are not alone  in your struggles  with mental health .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 0]"
56, I did not try other alternative solutions  for mental health issues .,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 0]"
57, Seeking professional help is not the only solution  for mental health issues .,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 0]"
58, Selfhelp and support groups can also be beneficial options  that people can choose .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
59, Some people  who struggle  with mental health issues  may not have access  to therapy and medication.,"[1, 1, 2, 2, 3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 3, 3]"
60, Therapy and medication may not be helpful  for everyone  who struggles  with mental health issues.,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 3, 3, 3, 3]"
61," If I had not struggled  with mental health issues , I would not have majored in psychology .","[2, 2, 2, 2, 2, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
62, I am not a therapist  who can help everyone  with mental health issues .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
63, I was injured  when I was playing basketball  in high school .,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
64, I was afraid that I couldn’t achieve my dream  to become an NBA player .,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
65," Due to the injury , I eventually gave up  on my dream .","[3, 3, 3, 3, 0, 1, 1, 1, 1, 3, 3, 3, 0]"
66, My parents encouraged me  to pursue a different hobby .,"[1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
67, The instructor of the poem club is the teacher  who changed my life .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
68, I still remember and value the advice  that he gave me .,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
69, He said that the only thing  that matters  is what you do now.,"[0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]"
70," The best gift  in life  is having close friends and family  who support me,  no matter what happens.","[1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
71, My parents are my guardian angels  who never give up  on me.,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3]"
72, The light  that guided me to discover my passion  was their support.,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]"
73, I found my selfesteem  after winning a writing competition.,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
74," So, I learned that everything happens  for a reason.","[0, 0, 0, 0, 1, 1, 3, 3, 3]"
75, I found outlets  for my dreams  where they can come true.,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2]"
76, I would give up  if I did not see the bright side of life.,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
77, I found my childhood boring  because I grew up  in a small town.,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]"
78," In my hometown , bullying was more harmful  than physical injuries.","[3, 3, 3, 0, 1, 1, 1, 1, 3, 3, 3]"
79, Most students  in the poem club  were bullies.,"[1, 1, 3, 3, 3, 3, 1, 1]"
80, The only reason  why I joined the poem club  was the instructor.,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1]"
